Score:,11
Date:,4/5/18
Time Start:,11:47 AM
Time End:,12:02 PM
Initial:,KT
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/9/18
Time Start:,11:40 AM
Time End:,11:55 AM
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/10/18
Time Start:,11:54
Time End:,12:09
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,6
Date:,4/11/18
Time Start:,2:22pm
Time End:,2:37pm
Initial:,KD
,
,
,
,
,
,
,
,
,
Score:,5
Date:,1/12/18
Time Start:,1:05 PM
Time End:,1:20 PM
Initial:,GM
,
,
,
,
,
,
,
,
,
Score:,5
Date:,4/13/18
Time Start:,2:07 PM
Time End:,2:22 PM
Initial:,GM
,
,
,
,
,
,
,
,
,
Score:,1
Date:,4/16/18
Time Start:,11:00 AM
Time End:,11:15 AM
Initial:,GM
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,2
Date:,4/17/18
Time Start:,11:45 AM
Time End:,12:00 AM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/18/18
Time Start:,11:41 AM
Time End:,11:56 AM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,2
Date:,4/19/18
Time Start:,10:32AM
Time End:,10:47AM
Initial:,AD
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/20/18
Time Start:,1:27PM
Time End:,1:42PM
Initial:,AD
,
,
,
,
,
,
,
,
,
Score:,1
Date:,4/23/18
Time Start:,10:48 AM
Time End:,11:03 AM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/24/18
Time Start:,11:15 AM
Time End:,11:30 AM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/25/18
Time Start:,11:47 AM
Time End:,12:02 PM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,AD
Date:,4/26/18
Time Start:,10:34 AM
Time End:,10:49 AM
Initial:,AD
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/27/18
Time Start:,12:49 PM
Time End:,1:04 PM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/30/18
Time Start:,10:30 AM
Time End:,10:45 AM
Initial:,KT
,
,
,
,
,
,
,
,
,
Score:,1
Date:,5/1/18
Time Start:,11:39 AM
Time End:,11:54 AM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,10
Date:,5/2/18
Time Start:,2:25 PM
Time End:,2:39 PM
Initial:,KD
,
,
,
,
,
,
,
,
,
Score:,16
Date:,5/3/18
Time Start:,11:39 AM
Time End:,11:54 AM
Initial:,KT
,
,
,
,
,
,
,
,
,
Score:,18
Date:,5/4/18
Time Start:,11:55 AM
Time End:,12:10 PM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,17
Date:,5/7/18
Time Start:,10:20 AM
Time End:,10:35 AM
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,23
Date:,5/8/18
Time Start:,10:38 AM
Time End:,10:53 AM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,23
Date:,5/9/18
Time Start:,9:50 AM
Time End:,10:05am
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,25
Date:,5/10/18
Time Start:,1:04 AM
Time End:,1:19 AM
Initial:,gm
,
,
,
,
,
,
,
,
,
Score:,24
Date:,5/11/18
Time Start:,1:11PM
Time End:,1:26PM
Initial:,GM
,
,
,
,
,
,
,
,
,
Score:,24
Date:,5/14/18
Time Start:,10:05 AM
Time End:,10:20 AM
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,31
Date:,5/15/18
Time Start:,10:22 AM
Time End:,10:38 AM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,26
Date:,5/16/18
Time Start:,11:40 AM
Time End:,11:55 AM
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,26
Date:,5/17/18
Time Start:,11:42 AM
Time End:,11:57 AM
Initial:,KT
,
,
,
,
,
,
,
,
,
Score:,33
Date:,5/18/18
Time Start:,11:57 AM
Time End:,12:12 PM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,28
Date:,5/21/18
Time Start:,10:10 AM
Time End:,10:25 AM
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,32
Date:,5/22/18
Time Start:,12:06 PM
Time End:,12:21 PM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,25
Date:,5/23/18
Time Start:,10:30 AM
Time End:,10:45 AM
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,32
Date:,5/24/18
Time Start:,10:43 AM
Time End:,10:58 AM
Initial:,KT
,
,
,
,
,
,
,
,
,
Score:,28
Date:,5/30/18
Time Start:,10:20 AM
Time End:,10:35 AM
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,31
Date:,5/31/18
Time Start:,11:50 AM
Time End:,12:05 PM
Initial:,KT
,
,
,
,
,
,
,
,
,
Score:,24
Date:,6/1/18
Time Start:,11:10 AM
Time End:,11:25 AM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,35
Date:,6/4/18
Time Start:,10:36 AM
Time End:,10:51 AM
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,33
Date:,6/5/18
Time Start:,9:57 AM
Time End:,10:12 AM
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,39
Date:,6/20/18
Time Start:,11:37 AM
Time End:,11:52 AM
Initial:,GM
,
,
,
,
,
,
,
,
,
Score:,35
Date:,6/21/18
Time Start:,2:29 PM
Time End:,2:44 PM
Initial:,RB
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
Date:,
Time Start:,
Time End:,
Initial:,
,
,
,
,
,
,
,
,
,
Score:,
