Score:,0
Date:,4/5/18
Time Start:,1:41 PM
Time End:,1:56 PM
Initial:,GM
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/9/18
Time Start:,2:10PM
Time End:,2:25PM
Initial:,KD
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/10/18
Time Start:,10:29 AM
Time End:,10:44 AM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/11/18
Time Start:,10:17 AM
Time End:,10:32 AM
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/12/18
Time Start:,11:32 AM
Time End:,11:47 AM
Initial:,KT
,
,
,
,
,
,
,
,
,
Score:,2
Date:,4/13/18
Time Start:,1:37PM
Time End:,1:52PM
Initial:,AD
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/16/18
Time Start:,2:10 PM
Time End:,2:25 PM
Initial:,KD
,
,
,
,
,
,
,
,
,
Score:,0
Date:,4/17/18
Time Start:,10:26 AM
Time End:,10:41 AM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,19
Date:,4/18/18
Time Start:,11:41 AM
Time End:,11:56 AM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,19
Date:,4/19/18
Time Start:,10:32AM
Time End:,10:47AM
Initial:,AD
,
,
,
,
,
,
,
,
,
Score:,20
Date:,4/20/18
Time Start:,1:45PM
Time End:,2:00PM
Initial:,AD
,
,
,
,
,
,
,
,
,
Score:,18
Date:,4/23/18
Time Start:,10:48 AM
Time End:,11:03 AM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,19
Date:,4/24/18
Time Start:,12:07 PM
Time End:,12:22 PM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,14
Date:,4/25/18
Time Start:,11:47 AM
Time End:,12:02 PM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,19
Date:,4/26/18
Time Start:,11:56 AM
Time End:,12:11 PM
Initial:,KT
,
,
,
,
,
,
,
,
,
Score:,10
Date:,4/27/18
Time Start:,10:34 AM
Time End:,10:49 AM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,22
Date:,4/30/18
Time Start:,2:44 PM
Time End:,2:59 PM
Initial:,KD
,
,
,
,
,
,
,
,
,
Score:,28
Date:,5/1/18
Time Start:,11:08 AM
Time End:,11:22 AM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,19
Date:,5/2/18
Time Start:,10:50 AM
Time End:,11:05 AM
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,13
Date:,5/3/18
Time Start:,10:38 AM
Time End:,10:53 AM
Initial:,AD
,
,
,
,
,
,
,
,
,
Score:,24
Date:,5/4/18
Time Start:,11:41 AM
Time End:,11:56 AM
Initial:,PL
,
,
,
,
,
,
,
,
,
Score:,27
Date:,5/7/18
Time Start:,10:20 AM
Time End:,10:35 AM
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,33
Date:,5/8/18
Time Start:,11:06 AM
Time End:,11:21 AM
Initial:,CG
,
,
,
,
,
,
,
,
,
Score:,35
Date:,5/9/18
Time Start:,9:50 AM
Time End:,10:05am
Initial:,ED
,
,
,
,
,
,
,
,
,
Score:,35
Date:,5/10/18
Time Start:,1:04 AM
Time End:,1:19 AM
Initial:,gm
,
,
,
,
,
,
,
,
,
Score:,27
Date:,5/11/18
Time Start:,10:37 AM
Time End:,10:52 AM
